year,month,carrier,carrier_name,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2020,12,OO,SkyWest Airlines,ILnBcF.,53.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,114.0,76.0,0.0,0.0,0.0,38.0
2020,12,OO,SkyWest Airlines,ILnBcL.,53.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,87.0,16.0,45.0,0.0,0.0,26.0
2020,12,OO,SkyWest Airlines,ILnCc.H,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,ILnEcX.,15.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,298.0,260.0,0.0,0.0,0.0,38.0
2020,12,OO,SkyWest Airlines,ILnFcT.,84.0,2.0,4.0,1.0,0.0,0.0,7.0,1.0,0.0,769.0,99.0,60.0,0.0,0.0,610.0
2020,12,OO,SkyWest Airlines,ILnGc.B,94.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,956.0,910.0,46.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,ILnIcT.,97.0,9.0,12.0,2.0,0.0,0.0,5.0,0.0,0.0,1557.0,1293.0,125.0,0.0,0.0,139.0
2020,12,OO,SkyWest Airlines,ILnNc.K,61.0,6.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,230.0,210.0,20.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,ILnRc.D,23.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,230.0,102.0,0.0,0.0,0.0,128.0
2020,12,OO,SkyWest Airlines,ILnScE.,102.0,17.0,13.0,3.0,1.0,0.0,0.0,3.0,0.0,1016.0,750.0,233.0,33.0,0.0,0.0
2020,12,OO,SkyWest Airlines,ILnWc.B,31.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,73.0,33.0,0.0,0.0,0.0,40.0
2020,12,OO,SkyWest Airlines,ILnWc.S,73.0,5.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1030.0,78.0,952.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IMncA.F,73.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,455.0,413.0,0.0,0.0,0.0,42.0
2020,12,OO,SkyWest Airlines,IMncB.S,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
